Location,Student,Fac/Staff,Visitor/Meter,Reserved,Disabled,Reduced,Time,Day
West Level 5,56.0,,,,,,16:00,Tuesday
South Village Level 1,2.0,1.0,96.0,0.0,5.0,,16:00,Tuesday
South Village Level 2,5.0,4.0,,0.0,3.0,,16:00,Tuesday
South Village Level 3,4.0,3.0,,3.0,1.0,,16:00,Tuesday
South Village Level 4,8.0,8.0,,,4.0,,16:00,Tuesday
South Village Level 5,34.0,34.0,,,1.0,,16:00,Tuesday
South Village Level 6,52.0,52.0,,,1.0,,16:00,Tuesday
East 3 Level 1,36.0,,,1.0,3.0,,16:00,Tuesday
East 3 Level 2,77.0,,,,,,16:00,Tuesday
East 3 Level 3,89.0,,,,,,16:00,Tuesday
East 3 Level 4,105.0,,,,,,16:00,Tuesday
East 3 Level 5,64.0,,,,,,16:00,Tuesday
East 2 Level 4,63.0,,,,,,16:00,Tuesday
East 2 Level 3,28.0,,,,,,16:00,Tuesday
East 2 Level 2,5.0,,,,,,16:00,Tuesday
East 2 Level 1,6.0,,,,8.0,,16:00,Tuesday
East 1 Level 1,,45.0,,5.0,4.0,,16:00,Tuesday
East 1 Level 2,,69.0,30.0,,,,16:00,Tuesday
East 1 Level 3,,103.0,44.0,,,,16:00,Tuesday
East 1 Level 4,,78.0,33.0,,,,16:00,Tuesday
North Level 6,143.0,,,,,,18:00,Tuesday
North Level 5,184.0,,,,,,18:00,Tuesday
North Level 4,156.0,,,,,,18:00,Tuesday
North Level 3,110.0,,,,,,18:00,Tuesday
North Level 2,72.0,,,,,,18:00,Tuesday
North Level 1,50.0,,,2.0,18.0,,18:00,Tuesday
Union Level 6,,40.0,40.0,1.0,2.0,,18:00,Tuesday
Union Level 5,,120.0,119.0,3.0,3.0,,18:00,Tuesday
Union Level 4,59.0,1.0,0.0,,0.0,,18:00,Tuesday
Union Level 3,168.0,,,,4.0,,18:00,Tuesday
Union Level 2,115.0,,,,2.0,,18:00,Tuesday
Union Level 1,48.0,,,0.0,4.0,,18:00,Tuesday
CRI Deck 1 Level 7,46.0,46.0,45.0,,,,18:00,Tuesday
CRI Deck 1 Level 6,68.0,68.0,67.0,,2.0,,18:00,Tuesday
CRI Deck 1 Level 5,65.0,65.0,64.0,,4.0,,18:00,Tuesday
CRI Deck 1 Level 4,13.0,14.0,13.0,,8.0,,18:00,Tuesday
CRI Deck 1 Level 3,53.0,54.0,53.0,4.0,4.0,,18:00,Tuesday
CRI Deck 1 Level 2,47.0,47.0,46.0,2.0,4.0,,18:00,Tuesday
CRI Deck 1 Level 1,33.0,34.0,33.0,,2.0,,18:00,Tuesday
West Level 2,86.0,,,,,,18:00,Tuesday
West Level 3,124.0,,,3.0,,,18:00,Tuesday
West Level 4,64.0,,,,,,18:00,Tuesday
West Level 5,97.0,,,,,,18:00,Tuesday
South Village Level 1,6.0,5.0,80.0,1.0,5.0,,18:00,Tuesday
South Village Level 2,3.0,2.0,,2.0,3.0,,18:00,Tuesday
South Village Level 3,99.0,98.0,,6.0,3.0,,18:00,Tuesday
South Village Level 4,16.0,16.0,,,3.0,,18:00,Tuesday
South Village Level 5,49.0,49.0,,,3.0,,18:00,Tuesday
South Village Level 6,65.0,64.0,,,1.0,,18:00,Tuesday
East 3 Level 1,75.0,,,12.0,4.0,,18:00,Tuesday
East 3 Level 2,104.0,,,,,,18:00,Tuesday
East 3 Level 3,147.0,,,,,,18:00,Tuesday
East 3 Level 4,141.0,,,,,,18:00,Tuesday
East 3 Level 5,100.0,,,,,,18:00,Tuesday
East 2 Level 4,89.0,,,,,,18:00,Tuesday
East 2 Level 3,101.0,,,,,,18:00,Tuesday
East 2 Level 2,22.0,,,,,,18:00,Tuesday
East 2 Level 1,4.0,,,,18.0,,18:00,Tuesday
East 1 Level 1,,71.0,,12.0,4.0,,18:00,Tuesday
East 1 Level 2,,95.0,41.0,,,,18:00,Tuesday
East 1 Level 3,,114.0,49.0,,,,18:00,Tuesday
East 1 Level 4,,78.0,33.0,,,,18:00,Tuesday
North Level 6,145.0,,,,,,10:00,Wednesday
North Level 5,180.0,,,,,,10:00,Wednesday
North Level 4,168.0,,,,,,10:00,Wednesday
North Level 3,80.0,,,,,,10:00,Wednesday
North Level 2,0.0,,,,,,10:00,Wednesday
North Level 1,9.0,,,0.0,14.0,,10:00,Wednesday
Union Level 6,,19.0,19.0,1.0,1.0,,10:00,Wednesday
Union Level 5,,106.0,105.0,1.0,2.0,,10:00,Wednesday
Union Level 4,36.0,3.0,2.0,,1.0,,10:00,Wednesday
Union Level 3,75.0,,,,5.0,,10:00,Wednesday
Union Level 2,78.0,,,,5.0,,10:00,Wednesday
Union Level 1,6.0,,,0.0,6.0,,10:00,Wednesday
CRI Deck 1 Level 7,46.0,46.0,45.0,,,,10:00,Wednesday
CRI Deck 1 Level 6,67.0,67.0,67.0,,2.0,,10:00,Wednesday
CRI Deck 1 Level 5,60.0,60.0,59.0,,4.0,,10:00,Wednesday
CRI Deck 1 Level 4,33.0,33.0,33.0,,8.0,,10:00,Wednesday
CRI Deck 1 Level 3,46.0,46.0,46.0,0.0,4.0,,10:00,Wednesday
CRI Deck 1 Level 2,22.0,22.0,22.0,1.0,4.0,,10:00,Wednesday
CRI Deck 1 Level 1,32.0,32.0,32.0,,2.0,,10:00,Wednesday
West Level 2,6.0,,,,,,10:00,Wednesday
West Level 3,1.0,,,2.0,,,10:00,Wednesday
